,Brand,Model,Weight,Operating System,Display Size,Pixel Density,Display Touchscreen,Clock-speed,Capacity,RAM Type,SSD Capacity,Battery Type,Wi-Fi Version,Warranty,Price (Rs),Weight_Category,Resolution_X,Resolution_Y,GPU_Brand,GPU_Tier,CPU_Brand,CPU_Category,Total_Pixels,Screen_Category,PPI_Category
0,HP,14-dv0055TU (2N1L1PA),1.41,Windows 10,14.0,157,No,4,16 GB,DDR4,512 GB,Li-Ion,6.0,1,71990.0,Light,1920,1080,Intel,Integrated,Intel,i5-1Gen,2073600,Medium,Medium
1,Acer,PHN16-71 (NH.QLTSI.002),2.6,Windows 11,16.0,142,No,4,16 GB,DDR5,512 GB,Li-Ion,5.0,1,105999.0,Heavy,1920,1200,NVIDIA,High,Intel,i7-13Gen,2304000,Large,Medium
2,Dell,15 5570 (A560126WIN9),2.2,Windows 10,15.6,141,No,1,8 GB,DDR4,512 GB,Li-Ion,5.0,1,54999.0,Normal,1920,1080,AMD,Integrated,Intel,i5-8Gen,2073600,Medium,Medium
3,MSI,GV62 7RD-2297XIN,2.2,DOS,15.6,141,No,2,8 GB,DDR4,512 GB,Li-Ion,5.0,1,67990.0,Normal,1920,1080,NVIDIA,Entry Gaming,Intel,i7-7Gen,2073600,Medium,Medium
4,Dell,15 3515 (D560702WIN9BE),1.8,Windows 11,15.6,141,No,4,4 GB,DDR4,256 GB,Li-Ion,5.0,1,42210.0,Light,1920,1080,AMD,Integrated,AMD,Other,2073600,Medium,Medium
5,HP,15s-ey1004AU (38Z30PA),1.7,Windows 10,15.6,141,No,2,8 GB,DDR4,256 GB,Li-Ion,5.0,1,47990.0,Light,1920,1080,AMD,Integrated,AMD,Ryzen 5-4Gen,2073600,Medium,Medium
6,Lenovo,(81WE0144IN),1.85,Windows 10,15.6,141,No,1,8 GB,DDR4,512 GB,Li-Po,5.0,1,44990.0,Normal,1920,1080,Intel,Integrated,Intel,i5-10Gen,2073600,Medium,Medium
8,Asus,14 OLED M3401QC-KM045WS,1.45,Windows 11,14.0,243,No,4,16 GB,DDR4,512 GB,Li-Po,6.0,1,89990.0,Light,2880,1800,NVIDIA,Mid,AMD,Other,5184000,Medium,High
9,Asus,UX430UA-GV334T,1.25,Windows 10,14.0,157,No,3,8 GB,DDR4,256 GB,Li-Po,5.0,1,45990.0,Ultra Light,1920,1080,Intel,Integrated,Intel,i5-8Gen,2073600,Medium,Medium
10,Lenovo,3 15ITL6 (82H8014BIN),1.65,Windows 10,15.6,141,No,2,8 GB,DDR4,512 GB,Li-Ion,5.0,1,81090.0,Light,1920,1080,Intel,Integrated,Intel,i5-1Gen,2073600,Medium,Medium
11,Asus,TP412FA-EC371TS,1.5,Windows 10,14.0,157,No,2,4 GB,DDR4,512 GB,Li-Ion,6.0,1,46990.0,Light,1920,1080,Intel,Integrated,Intel,i3-10Gen,2073600,Medium,Medium
12,Acer,A515-51G (NX.GVMSI.005),2.1,Linux,15.6,141,No,2,8 GB,DDR4,512 GB,Li-Ion,5.0,1,44890.0,Normal,1920,1080,NVIDIA,Basic Dedicated,Intel,i5-7Gen,2073600,Medium,Medium
13,Dell,17 7567 (A562101SIN9),2.62,Windows 10,15.6,141,No,2,8 GB,DDR4,512 GB,Li-Ion,5.0,1,64990.0,Heavy,1920,1080,NVIDIA,Entry Gaming,Intel,i5-7Gen,2073600,Medium,Medium
14,Dell,15 3567 (A561216SIN9),2.5,Windows 10,15.6,100,No,2,4 GB,DDR4,512 GB,Li-Ion,5.0,1,44182.0,Heavy,1366,768,AMD,Integrated,Intel,i5-7Gen,1049088,Medium,Low
15,MSI,Modern 14 A10M-652IN,1.19,Windows 10,14.0,157,No,1,8 GB,DDR4,512 GB,Li-Po,5.0,1,54990.0,Ultra Light,1920,1080,Intel,Integrated,Intel,i5-10Gen,2073600,Medium,Medium
16,Lenovo,(82EY00UAIN),2.2,Windows 10,15.6,141,No,3,8 GB,DDR4,512 GB,Li-Ion,5.0,1,66490.0,Normal,1920,1080,NVIDIA,Entry Gaming,AMD,Ryzen 5-4Gen,2073600,Medium,Medium
17,Asus,X515JA-EJ512TS,1.8,Windows 10,15.6,141,No,1,8 GB,DDR4,256 GB,Li-Ion,5.0,1,50990.0,Light,1920,1080,Intel,Integrated,Intel,i5-1Gen,2073600,Medium,Medium
18,Lenovo,3 14ACL6 (82KT00GLIN),1.66,Windows 11,15.6,141,No,2,8 GB,DDR4,512 GB,Li-Ion,6.0,1,48440.0,Light,1920,1080,AMD,Integrated,AMD,Ryzen 5-5Gen,2073600,Medium,Medium
19,MSI,Alpha 15 B5EEK-029IN,2.35,Windows 10,15.6,141,No,4,16 GB,DDR4,1 TB,Li-Ion,6.0,1,114990.0,Heavy,1920,1080,AMD,Integrated,AMD,Ryzen 7-5Gen,2073600,Medium,Medium
20,Asus,X415EA-EB572WS,1.6,Windows 11,14.0,157,No,4,8 GB,DDR4,256 GB,Li-Ion,5.0,1,65999.0,Light,1920,1080,Intel,Integrated,Intel,i5-1Gen,2073600,Medium,Medium
21,MSI,B5EEK-235IN,2.35,Windows 11,15.6,141,No,4,8 GB,DDR4,512 GB,Li-Ion,5.0,1,84990.0,Heavy,1920,1080,AMD,Integrated,AMD,Other,2073600,Medium,Medium
22,Asus,X515JA-BQ302W,1.8,Windows 11,15.6,141,No,1,8 GB,DDR4,512 GB,Li-Ion,5.0,1,27990.0,Light,1920,1080,Intel,Integrated,Intel,i3-1Gen,2073600,Medium,Medium
23,MSI,C12M-439IN,1.4,Windows 11,14.0,157,No,3,16 GB,DDR4,512 GB,Li-Ion,6.0,1,40499.0,Light,1920,1080,Intel,Integrated,Intel,i5-1Gen,2073600,Medium,Medium
25,HP,14-dv0543TU (4X7D7PA),1.14,Windows 10,14.0,157,No,4,8 GB,DDR4,512 GB,Li-Ion,5.0,1,59860.0,Ultra Light,1920,1080,Intel,Integrated,Intel,i5-1Gen,2073600,Medium,Medium
26,HP,15-bw548AU (4NZ61PA),1.86,Windows 10,15.6,100,No,2,4 GB,DDR4,512 GB,Li-Ion,4.0,1,24955.0,Normal,1366,768,AMD,Integrated,AMD,Other,1049088,Medium,Low
27,HP,16-e0075AX (494P2PA),2.46,Windows 10,16.1,137,No,3,8 GB,DDR4,512 GB,Li-Po,6.0,1,62112.0,Heavy,1920,1080,NVIDIA,Entry Gaming,AMD,Ryzen 5-5Gen,2073600,Large,Low
28,HP,15-dk2100TX (48U95PA),2.23,Windows 10,15.6,141,No,3,8 GB,DDR4,256 GB,Li-Po,5.0,1,68200.0,Normal,1920,1080,NVIDIA,Entry Gaming,Intel,i5-11Gen,2073600,Medium,Medium
29,Lenovo,15IMH05 (81Y400BPIN),2.2,Windows 10,15.6,141,No,2,8 GB,DDR4,256 GB,Li-Po,6.0,1,82990.0,Normal,1920,1080,NVIDIA,Entry Gaming,Intel,i7-10Gen,2073600,Medium,Medium
30,Lenovo,Gaming 3 15IHU6 (82K10198IN),2.25,Windows 11,15.6,141,No,3,8 GB,DDR4,512 GB,Li-Ion,5.0,1,48411.0,Normal,1920,1080,NVIDIA,Entry Gaming,Intel,i5-11Gen,2073600,Medium,Medium
31,Lenovo,S145 (81UT00JBIN),1.85,Windows 10,15.6,141,No,2,8 GB,DDR4,512 GB,Li-Ion,5.0,1,38990.0,Normal,1920,1080,AMD,Integrated,AMD,Ryzen 5-3Gen,2073600,Medium,Medium
32,MSI,11SC-852IN,1.86,Windows 10,15.6,141,No,2,8 GB,DDR4,512 GB,Li-Ion,6.0,2,71490.0,Normal,1920,1080,NVIDIA,Entry Gaming,Intel,i7-11Gen,2073600,Medium,Medium
33,Lenovo,5 15IMH05 (82AU00PMIN),2.3,Windows 10,15.6,141,No,2,8 GB,DDR4,512 GB,Li-Ion,6.0,1,62490.0,Normal,1920,1080,NVIDIA,Entry Gaming,Intel,i5-10Gen,2073600,Medium,Medium
34,Acer,SF514-52T (NX.GTMSI.015),0.97,Windows 10,14.0,157,No,1,8 GB,DDR4,512 GB,Li-Ion,5.0,1,84990.0,Ultra Light,1920,1080,Intel,Integrated,Intel,i7-8Gen,2073600,Medium,Medium
35,HP,14a-na1004TU,1.46,Chrome OS,14.0,157,No,2,4 GB,DDR4,512 GB,Li-Ion,5.0,1,20590.0,Light,1920,1080,Intel,Integrated,Intel,Other,2073600,Medium,Medium
36,Acer,A315-23 (UN.HVTSI.013),1.9,Windows 11,15.6,141,No,2,8 GB,DDR4,256 GB,Li-Ion,5.0,1,26999.0,Normal,1920,1080,AMD,Integrated,AMD,Other,2073600,Medium,Medium
37,HP,15q-BU011TX (2UL56PA),1.86,DOS,15.6,100,No,2,8 GB,DDR4,512 GB,Li-Ion,4.0,1,42990.0,Normal,1366,768,AMD,Integrated,Intel,i5-7Gen,1049088,Medium,Low
38,Dell,15 3505 (D560486WIN9S),1.83,Windows 10,15.6,141,No,2,8 GB,DDR4,256 GB,Li-Ion,5.0,1,40190.0,Normal,1920,1080,AMD,Integrated,AMD,Ryzen 3-3Gen,2073600,Medium,Medium
40,HP,x360 14-dy0186TU (533T6PA),1.5,Windows 11,14.0,157,No,3,8 GB,DDR4,512 GB,Li-Ion,6.0,1,49990.0,Light,1920,1080,Intel,Integrated,Intel,i3-1Gen,2073600,Medium,Medium
41,HP,15q-bu012tx (2WY33PA),1.86,Windows 10,15.6,100,No,2,8 GB,DDR4,512 GB,Li-Ion,4.0,1,50790.0,Normal,1366,768,AMD,Integrated,Intel,i5-7Gen,1049088,Medium,Low
42,Asus,16X K3605ZC-MB541WS,1.8,Windows 11,16.0,142,No,3,16 GB,DDR4,512 GB,Li-Ion,6.0,1,66990.0,Light,1920,1200,NVIDIA,Mid,Intel,i5-12Gen,2304000,Large,Medium
43,Acer,AN515-58 (NH.QFHSI.008),2.6,Windows 11,15.6,141,No,4,8 GB,DDR4,512 GB,Li-Ion,6.0,1,77425.0,Heavy,1920,1080,NVIDIA,Mid,Intel,i5-12Gen,2073600,Medium,Medium
45,HP,15s-FR2508TU (546K3PA),1.7,Windows 11,15.6,141,No,4,8 GB,DDR4,512 GB,Li-Ion,5.0,1,32800.0,Light,1920,1080,Intel,Integrated,Intel,i3-1Gen,2073600,Medium,Medium
46,realme,Book Prime,1.37,Windows 11,14.0,185,No,4,16 GB,DDR4,512 GB,Li-Ion,6.0,1,64990.0,Light,2160,1440,Intel,Integrated,Intel,i5-11Gen,3110400,Medium,High
47,Acer,A515-51G (UN.GT1SI.004),2.2,Windows 10,15.6,100,No,1,8 GB,DDR4,512 GB,Li-Ion,5.0,1,50279.0,Normal,1366,768,NVIDIA,Basic Dedicated,Intel,i5-8Gen,1049088,Medium,Low
48,Lenovo,S145 (81W800TDIN),1.85,Windows 10,15.6,141,No,1,8 GB,DDR4,512 GB,Li-Ion,5.0,1,42990.0,Normal,1920,1080,Intel,Integrated,Intel,i5-1Gen,2073600,Medium,Medium
49,MSI,GF63 Thin 10UC-606IN,1.86,Windows 10,15.6,141,No,4,16 GB,DDR4,512 GB,Li-Ion,6.0,1,72990.0,Normal,1920,1080,NVIDIA,Mid,Intel,Other,2073600,Medium,Medium
50,Acer,AN515-58 (UN.QFHSI.026),2.5,Windows 11,15.6,141,No,4,16 GB,DDR4,512 GB,Li-Ion,5.0,1,70990.0,Heavy,1920,1080,NVIDIA,Mid,Intel,i5-12Gen,2073600,Medium,Medium
51,Asus,K513EA-L503TS,1.8,Windows 10,15.6,141,No,2,8 GB,DDR4,512 GB,Li-Ion,6.0,1,51990.0,Light,1920,1080,Intel,Integrated,Intel,i5-1Gen,2073600,Medium,Medium
52,Lenovo,(82RK00VWIN),1.6,Windows 11,15.6,141,No,3,8 GB,DDR4,512 GB,Li-Ion,6.0,1,32990.0,Light,1920,1080,Intel,Integrated,Intel,Other,2073600,Medium,Medium
53,Lenovo,(81X2004RIN),1.65,Windows 10,14.0,157,No,2,8 GB,DDR4,512 GB,Li-Ion,5.0,1,58990.0,Light,1920,1080,AMD,Integrated,AMD,Ryzen 5-4Gen,2073600,Medium,Medium
54,HP,15-eh2018AU (67U20PA),1.75,Windows 11,15.6,141,No,4,8 GB,DDR4,512 GB,Li-Ion,5.0,1,41989.0,Light,1920,1080,AMD,Integrated,AMD,Other,2073600,Medium,Medium
55,HP,15-ec2146AX (552W3PA),1.98,Windows 11,15.6,141,No,4,16 GB,DDR4,512 GB,Li-Ion,5.0,1,67999.0,Normal,1920,1080,Intel,Mid,AMD,Other,2073600,Medium,Medium
56,Asus,Gaming FX506HCB-HN228T,2.3,Windows 10,15.6,141,No,4,8 GB,DDR4,1 TB,Li-Ion,6.0,1,57999.0,Normal,1920,1080,NVIDIA,Mid,Intel,i5-11Gen,2073600,Medium,Medium
57,Apple,M3,1.24,macOS,13.6,225,No,4,8 GB,DDR4,256 GB,Li-Po,6.0,1,104990.0,Ultra Light,2560,1664,Intel,Other,Apple,Apple M3,4259840,Small,High
58,Lenovo,(81WE004WIN),1.8,Windows 10,15.6,100,No,1,8 GB,DDR4,512 GB,Li-Ion,5.0,1,39999.0,Light,1366,768,Intel,Integrated,Intel,i5-1Gen,1049088,Medium,Low
59,MSI,Alpha 15 A3DD-044IN,2.33,Windows 10,15.6,141,No,2,16 GB,DDR4,256 GB,Li-Ion,4.0,1,69990.0,Heavy,1920,1080,AMD,Integrated,AMD,Ryzen 7-3Gen,2073600,Medium,Medium
60,Asus,TP412FA-EC372TS,1.5,Windows 10,14.0,157,Yes,2,4 GB,DDR4,512 GB,Li-Ion,6.0,1,46990.0,Light,1920,1080,Intel,Integrated,Intel,i3-10Gen,2073600,Medium,Medium
61,MSI,GF65 Thin 10UE-290IN,1.86,Windows 10,15.6,141,No,2,16 GB,DDR4,512 GB,Li-Ion,6.0,1,89990.0,Normal,1920,1080,NVIDIA,Other,Intel,i5-10Gen,2073600,Medium,Medium
63,Lenovo,330-15AST (81D60079IN),1.3,DOS,15.6,100,No,2,4 GB,DDR4,512 GB,Li-Ion,4.0,1,18990.0,Ultra Light,1366,768,AMD,Integrated,AMD,Other,1049088,Medium,Low
64,Lenovo,320S-14IKB (80X400HCIN),2.2,Windows 10,14.0,112,No,2,4 GB,DDR4,512 GB,Li-Ion,5.0,1,38000.0,Normal,1366,768,Intel,Integrated,Intel,i3-7Gen,1049088,Medium,Low
65,Acer,PT315-52 (NH.Q9YSI.002),1.7,Windows 10,15.6,141,No,2,8 GB,DDR4,512 GB,Li-Ion,6.0,1,74990.0,Light,1920,1080,NVIDIA,Entry Gaming,Intel,i5-10Gen,2073600,Medium,Medium
66,Infinix,INBook X1 Slim XL21,1.24,Windows 11,14.0,157,No,1,16 GB,DDR4,512 GB,Li-Ion,5.0,1,39999.0,Ultra Light,1920,1080,Intel,Integrated,Intel,i5-1Gen,2073600,Medium,Medium
67,Asus,X509JB-EJ592T,1.9,Windows 10,15.6,141,No,1,8 GB,DDR4,512 GB,Li-Ion,5.0,1,51990.0,Normal,1920,1080,NVIDIA,Basic Dedicated,Intel,i5-1Gen,2073600,Medium,Medium
68,Acer,A315-59 (NX.K6TSI.001),1.7,Windows 11,15.6,141,No,3,8 GB,DDR4,512 GB,Li-Ion,5.0,1,29200.0,Light,1920,1080,Intel,Integrated,Intel,i3-1Gen,2073600,Medium,Medium
69,Asus,UX331UAL-EG001T,0.98,Windows 10,13.3,166,No,1,8 GB,DDR3,256 GB,Li-Po,5.0,1,66490.0,Ultra Light,1920,1080,Intel,Integrated,Intel,Other,2073600,Small,Medium
70,Samsung,3 NP750XFG-KA3IN,1.57,Windows 11,15.6,141,No,5,16 GB,DDR4,512 GB,Li-Ion,6.0,1,62990.0,Light,1920,1080,Intel,Integrated,Intel,i7-1Gen,2073600,Medium,Medium
71,Asus,X509JA-EJ485T,1.9,Windows 10,15.6,141,No,1,4 GB,DDR4,512 GB,Li-Ion,5.0,1,30576.0,Normal,1920,1080,Intel,Integrated,Intel,i3-1Gen,2073600,Medium,Medium
72,HP,15q-dy0001au (4XB40PA),1.77,Windows 10,15.6,100,No,1,4 GB,DDR4,512 GB,Li-Ion,4.0,1,21999.0,Light,1366,768,AMD,Integrated,AMD,Other,1049088,Medium,Low
73,HP,14-ce3006TU (8QG90PA),1.6,Windows 10,14.0,157,No,1,8 GB,DDR4,512 GB,Li-Ion,5.0,1,53990.0,Light,1920,1080,Intel,Integrated,Intel,i5-1Gen,2073600,Medium,Medium
75,HP,15-eh1101AU (4X7E6PA),1.75,Windows 10,15.6,141,No,2,8 GB,DDR4,512 GB,Li-Ion,5.0,1,46499.0,Light,1920,1080,AMD,Integrated,AMD,Ryzen 5-5Gen,2073600,Medium,Medium
76,Asus,FA706IH-H7014T,2.6,Windows 10,17.3,127,No,3,8 GB,DDR4,512 GB,Li-Ion,5.0,1,64490.0,Heavy,1920,1080,NVIDIA,Entry Gaming,AMD,Ryzen 5-4Gen,2073600,Large,Low
77,Lenovo,Slim 3 15IAU7 (82RK011DIN),1.63,Windows 11,15.6,141,No,3,8 GB,DDR4,256 GB,Li-Ion,6.0,1,33499.0,Light,1920,1080,Intel,Integrated,Intel,i3-1Gen,2073600,Medium,Medium
78,Lenovo,S145 (81H7002BIN),1.85,DOS,15.6,100,No,1,8 GB,DDR4,512 GB,Li-Ion,5.0,1,39990.0,Normal,1366,768,NVIDIA,Basic Dedicated,Intel,i5-8Gen,1049088,Medium,Low
79,Dell,15 3511 (D560611WIN9BE),1.85,Windows 10,15.6,141,No,1,8 GB,DDR4,256 GB,Li-Ion,5.0,1,44260.0,Normal,1920,1080,Intel,Integrated,Intel,i3-1Gen,2073600,Medium,Medium
80,HP,15-bg001AX (W6T48PA),2.19,DOS,15.6,100,No,2,4 GB,DDR3,512 GB,Li-Ion,4.0,1,28990.0,Normal,1366,768,AMD,Integrated,AMD,Other,1049088,Medium,Low
81,Acer,EX215-33 (UN.EH6SI.017),1.7,Windows 11,15.6,141,No,4,8 GB,DDR5,256 GB,Li-Ion,6.0,1,32990.0,Light,1920,1080,Intel,Integrated,Intel,Other,2073600,Medium,Medium
82,Dell,14 5410 (D560563WIN9S),1.56,Windows 10,14.0,157,Yes,1,8 GB,DDR4,256 GB,Li-Ion,6.0,1,50733.0,Light,1920,1080,Intel,Integrated,Intel,i3-1Gen,2073600,Medium,Medium
83,Asus,FX517ZC-HN035WS,2.0,Windows 11,15.6,141,No,2,8 GB,DDR5,512 GB,Li-Ion,6.0,1,90990.0,Normal,1920,1080,NVIDIA,Mid,Intel,i5-12Gen,2073600,Medium,Medium
84,Dell,3511 (D560841WIN9S),1.8254062618836355,Windows 11,15.6,141,No,4,8 GB,DDR4,256 GB,Li-Ion,5.0,1,40300.0,Normal,1920,1080,Intel,Integrated,Intel,i3-1Gen,2073600,Medium,Medium
86,Asus,GA502DU-AL025T,2.2,Windows 10,15.6,141,No,2,16 GB,DDR4,512 GB,Li-Ion,5.0,1,74990.0,Normal,1920,1080,NVIDIA,Other,AMD,Ryzen 7-3Gen,2073600,Medium,Medium
87,Lenovo,3 14ITL6 (82H700UYIN),1.41,Windows 11,14.0,157,No,1,8 GB,DDR4,512 GB,Li-Ion,6.0,2,38990.0,Light,1920,1080,Intel,Integrated,Intel,i3-1Gen,2073600,Medium,Medium
88,Lenovo,5i (81X100NDIN),1.5,Windows 10,14.0,157,Yes,1,8 GB,DDR4,512 GB,Li-Ion,5.0,1,50990.0,Light,1920,1080,Intel,Integrated,Intel,i3-1Gen,2073600,Medium,Medium
90,Asus,G513RC-HN083W,2.1,Windows 11,15.6,141,No,4,16 GB,DDR4,1 TB,Li-Ion,6.0,1,78190.0,Normal,1920,1080,NVIDIA,Mid,AMD,Other,2073600,Medium,Medium
91,HP,13-AY0045AU (3L999PA),1.32,Windows 10,13.3,166,Yes,2,8 GB,DDR4,512 GB,Li-Ion,5.0,1,87990.0,Light,1920,1080,AMD,Integrated,AMD,Ryzen 5-4Gen,2073600,Small,Medium
92,Asus,G513RC-HN061W,2.1,Windows 11,15.6,141,No,4,16 GB,DDR5,512 GB,Li-Ion,6.0,1,78999.0,Normal,1920,1080,NVIDIA,Mid,AMD,Other,2073600,Medium,Medium
93,Acer,A315-59 (NX.K6TSI.00E),1.7,Windows 11,15.6,141,No,3,8 GB,DDR4,512 GB,Li-Ion,6.0,1,31990.0,Light,1920,1080,Intel,Integrated,Intel,i3-1Gen,2073600,Medium,Medium
94,Lenovo,Slim 3 (82H801CUIN),1.41,Windows 10,15.6,141,No,4,8 GB,DDR4,256 GB,Li-Ion,5.0,1,48134.0,Light,1920,1080,Intel,Integrated,Intel,i3-1Gen,2073600,Medium,Medium
95,Lenovo,5 (82B500BHIN),2.3,Windows 10,15.6,141,No,3,8 GB,DDR4,256 GB,Li-Po,6.0,1,69789.0,Normal,1920,1080,NVIDIA,Entry Gaming,AMD,Other,2073600,Medium,Medium
96,HP,15s-du2002TU (3C467PA),1.77,Windows 10,15.6,141,No,1,8 GB,DDR4,512 GB,Li-Ion,5.0,1,42990.0,Light,1920,1080,Intel,Integrated,Intel,i3-1Gen,2073600,Medium,Medium
97,MSI,11UC-867IN,1.86,Windows 10,15.6,141,No,2,8 GB,DDR4,512 GB,Li-Ion,6.0,2,59789.0,Normal,1920,1080,NVIDIA,Mid,Intel,i5-11Gen,2073600,Medium,Medium
98,HP,x360 14-dh1180TU (231T2PA),1.58,Windows 10,14.0,157,Yes,1,8 GB,DDR4,512 GB,Li-Ion,6.0,1,74990.0,Light,1920,1080,Intel,Integrated,Intel,i7-10Gen,2073600,Medium,Medium
99,Lenovo,5 15ARH05 (82B500MMIN),2.2,Windows 10,15.6,141,No,3,8 GB,DDR4,256 GB,Li-Ion,6.0,1,66990.0,Normal,1920,1080,NVIDIA,Entry Gaming,AMD,Ryzen 5-4Gen,2073600,Medium,Medium
100,Asus,G531GT-AL018T,2.4,Windows 10,15.6,141,No,2,16 GB,DDR4,512 GB,Li-Ion,5.0,1,77990.0,Heavy,1920,1080,NVIDIA,Entry Gaming,Intel,i7-9Gen,2073600,Medium,Medium
102,Asus,K413EA-EB303WS,1.4,Windows 11,14.0,157,No,1,8 GB,DDR4,512 GB,Li-Ion,6.0,1,35990.0,Light,1920,1080,Intel,Integrated,Intel,i3-1Gen,2073600,Medium,Medium
103,HP,14-ec0037AU (4X803PA),1.41,Windows 11,14.0,157,No,4,16 GB,DDR4,512 GB,Li-Ion,6.0,1,61990.0,Light,1920,1080,AMD,Integrated,AMD,Ryzen 5-5Gen,2073600,Medium,Medium
104,Asus,Gaming FX506HCB-HN225T,2.3,Windows 10,15.6,141,No,4,16 GB,DDR4,1 TB,Li-Ion,6.0,1,96490.0,Normal,1920,1080,NVIDIA,Mid,Intel,i7-11Gen,2073600,Medium,Medium
105,Acer,A315-53G-5968 (NX.H1ASI.003),2.1,Windows 10,15.6,141,No,1,8 GB,DDR4,512 GB,Li-Ion,5.0,1,40990.0,Normal,1920,1080,NVIDIA,Basic Dedicated,Intel,i5-8Gen,2073600,Medium,Medium
106,MSI,11UC-1296IN,1.86,Windows 11,15.6,141,No,2,16 GB,DDR4,512 GB,Li-Ion,6.0,2,64671.0,Normal,1920,1080,NVIDIA,Mid,Intel,i5-11Gen,2073600,Medium,Medium
107,Asus,FA506IHRZ-HN111W,2.3,Windows 11,15.6,141,No,4,8 GB,DDR4,512 GB,Li-Po,6.0,1,56990.0,Normal,1920,1080,NVIDIA,Entry Gaming,AMD,Other,2073600,Medium,Medium
108,Lenovo,1 11IGL05 (81VT0071IN),1.2,Windows 10,11.6,135,No,2,4 GB,DDR4,256 GB,Li-Ion,6.0,1,23999.0,Ultra Light,1366,768,Intel,Integrated,Intel,Other,1049088,Small,Low
109,Asus,S410UA-EB796T,1.3,Windows 10,14.0,157,No,2,8 GB,DDR4,512 GB,Li-Ion,5.0,1,53990.0,Ultra Light,1920,1080,Intel,Integrated,Intel,i3-8Gen,2073600,Medium,Medium
110,Asus,S410UA-EB629T,1.3,Windows 10,14.0,157,No,2,8 GB,DDR4,256 GB,Li-Ion,5.0,2,44990.0,Ultra Light,1920,1080,Intel,Integrated,Intel,i3-8Gen,2073600,Medium,Medium
111,HP,15s-GR0009AU (21X34PA),1.85,Windows 10,15.6,141,No,2,8 GB,DDR4,512 GB,Li-Ion,5.0,1,37674.0,Normal,1920,1080,AMD,Integrated,AMD,Ryzen 5-3Gen,2073600,Medium,Medium
112,Acer,A315-24P (NX.KDESI.009),1.78,Windows 11,15.6,141,No,4,8 GB,DDR5,256 GB,Li-Ion,5.0,1,40849.0,Light,1920,1080,AMD,Integrated,AMD,Other,2073600,Medium,Medium
114,Lenovo,Gaming 3 (82K20289IN),2.25,Windows 11,15.6,141,No,4,8 GB,DDR4,512 GB,Li-Ion,6.0,1,49990.0,Normal,1920,1080,NVIDIA,Entry Gaming,AMD,Other,2073600,Medium,Medium
115,Lenovo,S145 (81VD008PIN),1.85,DOS,15.6,141,No,2,4 GB,DDR4,512 GB,Li-Ion,5.0,1,34190.0,Normal,1920,1080,Intel,Integrated,Intel,i3-8Gen,2073600,Medium,Medium
116,Acer,A315-41 (UN.GY9SI.001),2.2,Windows 10,15.6,141,No,2,4 GB,DDR4,512 GB,Li-Ion,5.0,1,35534.0,Normal,1920,1080,AMD,Integrated,AMD,Ryzen 5-2Gen,2073600,Medium,Medium
117,Asus,X515EA-EZ311WS,1.8,Windows 11,15.6,141,Yes,4,8 GB,DDR4,512 GB,Li-Ion,5.0,1,57940.0,Light,1920,1080,Intel,Integrated,Intel,i3-1Gen,2073600,Medium,Medium
118,Lenovo,3 15IML05 (81WB018UIN),1.7,Windows 11,15.6,141,No,4,8 GB,DDR4,512 GB,Li-Po,5.0,1,31990.0,Light,1920,1080,Intel,Integrated,Intel,i3-10Gen,2073600,Medium,Medium
119,HP,14s-DR1009TU (227Q4PA),1.46,Windows 10,14.0,157,No,1,8 GB,DDR4,512 GB,Li-Ion,5.0,1,57458.0,Light,1920,1080,Intel,Integrated,Intel,i5-1Gen,2073600,Medium,Medium
120,HP,G8 67U77PA,1.5,Windows 11,14.0,112,No,3,8 GB,DDR4,512 GB,Li-Ion,6.0,1,23999.0,Light,1366,768,Intel,Integrated,AMD,Other,1049088,Medium,Low
123,Lenovo,S145 (81MV00WRIN),1.85,Windows 10,15.6,141,No,1,8 GB,DDR4,256 GB,Li-Po,5.0,1,44990.0,Normal,1920,1080,Intel,Integrated,Intel,i5-8Gen,2073600,Medium,Medium
124,MSI,Modern 14 B10MW-424IN,1.3,Windows 10,14.0,157,No,2,8 GB,DDR4,512 GB,Li-Ion,5.0,1,47490.0,Ultra Light,1920,1080,Intel,Integrated,Intel,i3-10Gen,2073600,Medium,Medium
125,Lenovo,S340 (81WJ002SIN),1.69,Windows 10,14.0,157,No,1,8 GB,DDR4,512 GB,Li-Ion,5.0,1,54990.0,Light,1920,1080,NVIDIA,Basic Dedicated,Intel,i5-1Gen,2073600,Medium,Medium
126,Asus,FA706IH-AU016T,2.6,Windows 10,17.3,127,No,3,8 GB,DDR4,512 GB,Li-Po,5.0,1,64990.0,Heavy,1920,1080,NVIDIA,Entry Gaming,AMD,Ryzen 5-4Gen,2073600,Large,Low
127,Acer,PH315-54 (NH.QC2SI.004),2.3,Windows 10,15.6,188,No,2,16 GB,DDR4,512 GB,Li-Ion,6.0,1,117990.0,Normal,2560,1440,NVIDIA,Other,Intel,i7-11Gen,3686400,Medium,High
128,Acer,PH315-54 (NH.QC5SI.006),2.3,Windows 10,15.6,188,No,2,16 GB,DDR4,512 GB,Li-Ion,6.0,1,99990.0,Normal,2560,1440,NVIDIA,Mid,Intel,i7-11Gen,3686400,Medium,High
129,Lenovo,Gaming 3 (82K201Y9IN),2.25,Windows 11,15.6,141,No,3,8 GB,DDR4,256 GB,Li-Po,5.0,1,47990.0,Normal,1920,1080,NVIDIA,Entry Gaming,AMD,Other,2073600,Medium,Medium
